Date,Open,High,Low,Close,Volume,daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal,fast_vol,slow_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal,Positive Return
2019-12-06,148.1,149.8,145.94,148.9,15708.92302449,0.0061490641259545065,152.60335700467817,169.21667153694847,0.0,-1.0,-1.0,0.02567041638145207,0.03394378519143429,1.0,0.0,1.0,155.4165000000001,12.334853603554258,167.75135360355435,143.08164639644585,0.0,0.0,0.0,1.0
2019-12-07,148.97,149.8,147.12,147.37,13665.20153455,-0.01027535258562795,151.9259018883523,168.472389338913,0.0,-1.0,-1.0,0.0240845030687552,0.03349534093560604,1.0,0.0,1.0,153.59650000000008,10.476542355992539,164.0730423559926,143.11995764400754,0.0,0.0,0.0,0.0
2019-12-08,147.28,151.9,146.45,150.72,19525.02992955,0.022731899301078773,151.76979856818497,167.86759587112527,0.0,-1.0,-1.0,0.024313638701012896,0.03331479013185308,1.0,0.0,1.0,152.23750000000007,8.784188471641952,161.02168847164202,143.4533115283581,0.0,0.0,0.0,1.0
2019-12-09,150.64,151.35,146.42,147.45,22257.12545018,-0.021695859872611578,151.2106030768592,167.17200659608352,0.0,-1.0,-1.0,0.02385480781748607,0.03300164946657265,1.0,0.0,1.0,150.82800000000006,6.888536319977112,157.71653631997717,143.93946368002295,0.0,0.0,0.0,0.0
2019-12-10,147.24,148.19,143.41,145.58,23633.62145146,-0.012682265174635332,150.48172468025666,166.43641062451812,0.0,-1.0,-1.0,0.022498572793002086,0.032583067640876644,1.0,0.0,1.0,149.39400000000006,4.223633257611542,153.6176332576116,145.17036674238852,0.0,0.0,0.0,0.0
2019-12-11,145.56,146.22,142.0,143.19,16288.77260208,-0.0164170902596511,149.5378150277977,165.64445586516158,0.0,-1.0,-1.0,0.021400160179253454,0.03220304441502214,1.0,0.0,1.0,148.50300000000007,3.4536252501519202,151.956625250152,145.04937474984814,1.0,0.0,0.0,0.0
2019-12-12,143.22,145.73,139.0,144.79,27320.09475329,0.011173964662336777,148.9232130468751,164.9339927678884,0.0,-1.0,-1.0,0.02084296443060932,0.03185642421521584,1.0,0.0,1.0,148.25300000000007,3.5355563844230224,151.7885563844231,144.71744361557705,0.0,0.0,1.0,1.0
2019-12-13,144.89,145.1,142.48,144.49,18838.87344789,-0.0020719662960148044,148.34933611516885,164.23751599712043,0.0,-1.0,-1.0,0.019456300506727683,0.03141844308351609,1.0,0.0,1.0,147.87900000000008,3.517247578204002,151.39624757820408,144.36175242179607,0.0,0.0,0.0,0.0
2019-12-14,144.5,145.05,141.06,141.77,14956.87092697,-0.018824832168316097,147.4976447611748,163.47210571499812,0.0,-1.0,-1.0,0.018914168909817616,0.031087730119048522,1.0,0.0,1.0,147.96150000000006,3.340589728911377,151.30208972891143,144.6209102710887,1.0,0.0,0.0,0.0
2019-12-15,141.75,143.85,139.65,142.28,18787.77660637,0.0035973760316003744,146.8222235859198,162.7501480752642,0.0,-1.0,-1.0,0.017931559476352398,0.03068427745378202,1.0,0.0,1.0,147.7580000000001,3.560643939405353,151.31864393940546,144.19735606059473,1.0,0.0,1.0,1.0
2019-12-16,142.49,142.49,130.0,132.47,65474.65517634,-0.06894855215068885,144.9643363272744,161.71858918316067,0.0,-1.0,-1.0,0.028018771475037018,0.032103329770479874,1.0,0.0,1.0,146.99400000000009,4.936088799003266,151.93008879900336,142.0579112009968,1.0,0.0,1.0,0.0
2019-12-17,132.48,132.74,119.62,121.75,78294.31348274,-0.08092398278855584,141.9592535662544,160.35697730147712,0.0,-1.0,-1.0,0.035308164807801815,0.0339995443054847,0.0,-1.0,1.0,145.43900000000008,7.318113000958931,152.757113000959,138.12088699904115,1.0,0.0,1.0,0.0
2019-12-18,121.75,134.86,115.44,132.88,95833.63256131,0.09141683778234078,140.7839493064111,159.42092093427883,0.0,-1.0,-1.0,0.0512858754402009,0.03726562750058574,0.0,-1.0,-1.0,144.5215000000001,7.694486936150716,152.2159869361508,136.82701306384936,1.0,0.0,1.0,1.0
2019-12-19,132.88,133.99,125.77,128.12,50912.03491596,-0.035821794099939686,139.14460820224974,158.35459801156063,0.0,-1.0,-1.0,0.04889647072461478,0.03710273252257669,0.0,-1.0,-1.0,143.18850000000006,8.12122642734944,151.3097264273495,135.06727357265063,1.0,0.0,1.0,0.0
2019-12-20,128.24,129.37,125.97,128.26,25148.43669005,0.0010927255697781302,137.73560180172612,157.32937390901319,0.0,-1.0,-1.0,0.045805070566496894,0.036608623159019256,0.0,-1.0,-1.0,142.01450000000008,8.507886418838611,150.5223864188387,133.50661358116147,1.0,0.0,1.0,1.0
2019-12-21,128.38,128.44,126.68,127.02,12441.33838344,-0.009667862154997597,136.34847318454965,156.29683624039131,0.0,-1.0,-1.0,0.04273803298548633,0.036110769435689104,0.0,-1.0,-1.0,140.8275000000001,8.87180743170932,149.69930743170943,131.95569256829077,1.0,0.0,1.0,0.0
2019-12-22,127.02,133.2,127.0,132.41,36072.48915499,0.04243426232089442,135.83864004933636,155.48309506079693,0.0,-1.0,-1.0,0.04373800221591699,0.0364780152357798,0.0,-1.0,-1.0,140.0055000000001,8.850960385004107,148.8564603850042,131.154539614996,0.0,0.0,1.0,1.0
2019-12-23,132.55,135.1,126.1,128.0,34183.82736198,-0.033305641567857425,134.82393251042535,154.54684454829965,0.0,-1.0,-1.0,0.042191017011501124,0.036289437352731116,0.0,-1.0,-1.0,139.0370000000001,9.059995410714931,148.096995410715,129.97700458928517,1.0,0.0,0.0,0.0
2019-12-24,127.88,129.46,126.64,127.74,16689.90589857,-0.00203125000000004,133.90692143730251,153.63363397164673,0.0,-1.0,-1.0,0.03939644020624981,0.035793118424832154,0.0,-1.0,-1.0,138.15900000000008,9.26954884498401,147.42854884498408,128.88945115501608,1.0,0.0,1.0,0.0
2019-12-25,127.72,127.79,122.96,124.87,28284.10340789,-0.022467512134022205,132.7370970477065,152.65376537475467,0.0,-1.0,-1.0,0.0372058548758548,0.03541622481935901,0.0,-1.0,-1.0,137.00300000000007,9.419432377583094,146.42243237758316,127.58356762241698,1.0,0.0,1.0,0.0
2019-12-26,124.96,131.96,124.19,125.51,28189.6683886,0.005125330343557222,131.80155340587666,151.72908196258297,0.0,-1.0,-1.0,0.03501663331908501,0.034971959360923704,0.0,-1.0,-1.0,135.83350000000007,9.316042346408246,145.1495423464083,126.51745765359183,1.0,0.0,1.0,1.0
